posted_at,post_type,text_hash,comments_count,shares_count,likes_loves,engage_outlier,day_name,hour
2016-06-02 12:25:00-04:00,link,983e37e0adf9d7e7efd58b000737d458,110,159,325,0.0,Thursday,12
2016-06-03 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,35,18,77,0.0,Friday,6
2016-06-05 07:55:01-04:00,link,983e37e0adf9d7e7efd58b000737d458,84,137,316,0.0,Sunday,7
2016-06-06 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,7,8,87,0.0,Monday,6
2016-06-07 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,20,18,62,0.0,Tuesday,6
2016-06-08 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,62,15,187,0.0,Wednesday,6
2016-06-10 06:33:01-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,4,7,73,0.0,Friday,6
2016-06-14 06:33:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,15,9,65,0.0,Tuesday,6
2016-06-16 06:30:01-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,10,4,65,0.0,Thursday,6
2016-06-17 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,28,6,118,0.0,Friday,6
2016-06-18 14:55:00-04:00,link,389abe0f77c76c74bd0971b64545e351,184,654,1418,0.0,Saturday,14
2016-06-21 06:30:01-04:00,link,2759680a7cd049fc1315cb444daacbdf,8,16,81,0.0,Tuesday,6
2016-06-23 06:30:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,12,7,72,0.0,Thursday,6
2016-06-24 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,26,24,151,0.0,Friday,6
2016-06-27 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,8,23,151,0.0,Monday,6
2016-06-28 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,8,5,51,0.0,Tuesday,6
2016-06-29 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,11,13,85,0.0,Wednesday,6
2016-06-30 06:30:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,4,10,79,0.0,Thursday,6
2016-07-05 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,8,22,129,0.0,Tuesday,6
2016-07-06 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,16,9,65,0.0,Wednesday,6
2016-07-07 06:30:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,17,8,85,0.0,Thursday,6
2016-07-11 06:30:01-04:00,link,dfe07515948238043b1aace185d3014d,25,17,71,0.0,Monday,6
2016-07-20 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,35,9,52,0.0,Wednesday,6
2016-07-20 14:55:03-04:00,link,8b5bf5801c0f65c21048a5cf37c53583,49,85,405,0.0,Wednesday,14
2016-07-21 01:55:00-04:00,link,8b5bf5801c0f65c21048a5cf37c53583,16,36,181,0.0,Thursday,1
2016-07-21 02:55:00-04:00,link,6d9f7a1031c3703caa4fa559eeaf3b86,7,57,177,0.0,Thursday,2
2016-07-21 06:34:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,9,7,40,0.0,Thursday,6
2016-07-22 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,15,19,46,0.0,Friday,6
2016-07-25 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,24,6,98,0.0,Monday,6
2016-07-27 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,46,10,120,0.0,Wednesday,6
2016-07-29 06:30:04-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,22,7,76,0.0,Friday,6
2016-08-02 06:33:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,50,10,80,0.0,Tuesday,6
2016-08-03 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,52,14,139,0.0,Wednesday,6
2016-08-04 06:36:01-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,33,10,79,0.0,Thursday,6
2016-08-05 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,10,32,130,0.0,Friday,6
2016-08-09 10:08:42-04:00,video,2b1f5d2990bddb3d52f1342efc7e2ef1,293,144,776,0.0,Tuesday,10
2016-08-09 10:19:06-04:00,video,2b1f5d2990bddb3d52f1342efc7e2ef1,545,398,2280,1.0,Tuesday,10
2016-08-12 13:55:05-04:00,link,9bd889230cb7251f866eff2be964f9f2,8,8,25,0.0,Friday,13
2016-08-12 13:55:15-04:00,link,9bd889230cb7251f866eff2be964f9f2,2210,2077,4456,1.0,Friday,13
2016-08-17 15:23:52-04:00,video,af77be48278c7361efc28d980e750a56,257,46,673,0.0,Wednesday,15
2016-08-18 13:39:48-04:00,video,3d6c78d6e225945dbd72f36d6c2849a1,2099,230,1508,1.0,Thursday,13
2016-08-22 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,0,7,77,0.0,Monday,6
2016-08-23 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,38,7,84,0.0,Tuesday,6
2016-08-24 11:44:09-04:00,link,9e6947aad1ee9ea8d7eb3eb0b60ca60e,42,11,163,0.0,Wednesday,11
2016-08-24 17:25:00-04:00,link,f593a18911b56ee1bcfff540824f2621,30,53,155,0.0,Wednesday,17
2016-08-25 10:27:01-04:00,link,f593a18911b56ee1bcfff540824f2621,18,27,78,0.0,Thursday,10
2016-08-30 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,35,36,112,0.0,Tuesday,6
2016-08-31 06:30:01-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,27,6,61,0.0,Wednesday,6
2016-09-01 06:30:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,8,17,87,0.0,Thursday,6
2016-09-01 11:35:19-04:00,video,3d6c78d6e225945dbd72f36d6c2849a1,1458,191,1108,1.0,Thursday,11
2016-09-02 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,6,16,87,0.0,Friday,6
2016-09-03 01:25:01-04:00,link,389abe0f77c76c74bd0971b64545e351,126,526,953,0.0,Saturday,1
2016-09-07 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,14,16,83,0.0,Wednesday,6
2016-09-08 13:11:07-04:00,video,3d6c78d6e225945dbd72f36d6c2849a1,1088,144,815,1.0,Thursday,13
2016-09-09 23:55:00-04:00,link,2ea6d7e1286b785c143b3f07775133bf,25,33,365,0.0,Friday,23
2016-09-12 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,10,11,102,0.0,Monday,6
2016-09-12 14:06:44-04:00,video,dca941647926a648e9e1e09c952b9bcb,98,70,578,0.0,Monday,14
2016-09-12 14:18:00-04:00,video,dca941647926a648e9e1e09c952b9bcb,106,47,581,0.0,Monday,14
2016-09-13 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,8,14,90,0.0,Tuesday,6
2016-09-14 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,9,7,63,0.0,Wednesday,6
2016-09-15 06:30:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,4,6,63,0.0,Thursday,6
2016-09-16 23:40:00-04:00,link,2ea6d7e1286b785c143b3f07775133bf,13,5,79,0.0,Friday,23
2016-09-19 06:30:01-04:00,link,dfe07515948238043b1aace185d3014d,7,15,54,0.0,Monday,6
2016-09-20 06:30:01-04:00,link,2759680a7cd049fc1315cb444daacbdf,18,9,70,0.0,Tuesday,6
2016-09-22 06:30:27-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,33,43,118,0.0,Thursday,6
2016-09-22 13:03:31-04:00,video,3d6c78d6e225945dbd72f36d6c2849a1,1294,149,832,1.0,Thursday,13
2016-09-23 13:51:00-04:00,video,4164c89dbe5c16681be58f68ebf20f58,688,154,686,1.0,Friday,13
2016-09-23 14:13:38-04:00,video,4164c89dbe5c16681be58f68ebf20f58,146,93,423,0.0,Friday,14
2016-09-23 23:40:00-04:00,link,2ea6d7e1286b785c143b3f07775133bf,20,33,253,0.0,Friday,23
2016-09-28 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,17,13,73,0.0,Wednesday,6
2016-09-29 06:30:00-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,7,8,46,0.0,Thursday,6
2016-09-29 13:02:42-04:00,video,d8556533ee151e39fe0d3a05c3fe37d7,2101,183,957,1.0,Thursday,13
2016-09-30 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,8,11,55,0.0,Friday,6
2016-09-30 23:40:00-04:00,link,2ea6d7e1286b785c143b3f07775133bf,10,9,121,0.0,Friday,23
2016-10-03 06:30:01-04:00,link,dfe07515948238043b1aace185d3014d,23,25,108,0.0,Monday,6
2016-10-03 22:10:00-04:00,link,ae20b053d6143458ebe44fc622886af5,7,8,115,0.0,Monday,22
2016-10-04 06:31:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,9,6,44,0.0,Tuesday,6
2016-10-05 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,18,9,60,0.0,Wednesday,6
2016-10-06 06:32:01-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,15,13,59,0.0,Thursday,6
2016-10-06 13:13:28-04:00,video,3d6c78d6e225945dbd72f36d6c2849a1,722,136,837,1.0,Thursday,13
2016-10-08 21:25:00-04:00,link,2ea6d7e1286b785c143b3f07775133bf,30,23,212,0.0,Saturday,21
2016-10-09 21:58:44-04:00,photo,1bd1ae65a963946889b26889703f6d35,284,518,2110,0.0,Sunday,21
2016-10-09 22:12:17-04:00,photo,1bd1ae65a963946889b26889703f6d35,271,1073,7454,1.0,Sunday,22
2016-10-10 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,23,12,68,0.0,Monday,6
2016-10-10 20:10:00-04:00,link,ae20b053d6143458ebe44fc622886af5,7,7,147,0.0,Monday,20
2016-10-12 06:32:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,64,12,83,0.0,Wednesday,6
2016-10-13 13:13:22-04:00,video,d8556533ee151e39fe0d3a05c3fe37d7,680,114,703,1.0,Thursday,13
2016-10-14 06:30:01-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,10,11,73,0.0,Friday,6
2016-10-17 06:30:00-04:00,link,dfe07515948238043b1aace185d3014d,10,9,70,0.0,Monday,6
2016-10-17 21:40:00-04:00,link,ae20b053d6143458ebe44fc622886af5,18,9,143,0.0,Monday,21
2016-10-19 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,8,13,60,0.0,Wednesday,6
2016-10-20 06:28:35-04:00,link,c6ba0536fd2469e63a53c58407a0eff2,38,1,79,0.0,Thursday,6
2016-10-20 13:02:44-04:00,video,3d6c78d6e225945dbd72f36d6c2849a1,2453,132,821,1.0,Thursday,13
2016-10-21 06:30:01-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,10,11,53,0.0,Friday,6
2016-10-24 06:30:01-04:00,link,dfe07515948238043b1aace185d3014d,2,2,19,0.0,Monday,6
2016-10-28 06:30:00-04:00,link,d9d7b0320f5adb3d71cbfe6e5ad62295,9,4,58,0.0,Friday,6
2016-11-01 06:30:00-04:00,link,2759680a7cd049fc1315cb444daacbdf,15,11,71,0.0,Tuesday,6
2016-11-02 06:30:00-04:00,link,5c3a66c35e08f8259ad4f496f4e65bf9,10,11,60,0.0,Wednesday,6
2016-11-07 06:30:00-05:00,link,dfe07515948238043b1aace185d3014d,64,15,113,0.0,Monday,6
